Date,Open,High,Low,Close,Adj Close,Volume
6/7/2011,9371.209961,9454.660156,9358.30957,9442.950195,9442.950195,128400000
6/8/2011,9428.620117,9458.429688,9394.740234,9449.459961,9449.459961,117200000
6/9/2011,9411.709961,9472.410156,9383.120117,9467.150391,9467.150391,143100000
6/10/2011,9536.839844,9613.75,9493.049805,9514.44043,9514.44043,188800000
6/13/2011,9405.160156,9466.509766,9391.259766,9448.209961,9448.209961,96400000
6/14/2011,9446.839844,9565.650391,9438.410156,9547.790039,9547.790039,141200000
6/15/2011,9589.540039,9599.900391,9520.929688,9574.320313,9574.320313,142800000
6/16/2011,9478.629883,9497.589844,9411.280273,9411.280273,9411.280273,125500000
6/17/2011,9443.320313,9447.44043,9318.620117,9351.400391,9351.400391,139700000
6/20/2011,9383.240234,9421.379883,9346.759766,9354.320313,9354.320313,121700000
6/21/2011,9420.429688,9459.660156,9378.360352,9459.660156,9459.660156,116000000
6/22/2011,9525.25,9658.620117,9525.25,9629.429688,9629.429688,137800000
6/23/2011,9557.719727,9652.410156,9553.299805,9596.740234,9596.740234,127600000
6/24/2011,9626.429688,9695.089844,9609.240234,9678.709961,9678.709961,130900000
6/27/2011,9633.919922,9638.490234,9570.580078,9578.30957,9578.30957,119300000
6/28/2011,9668.009766,9703.410156,9632.540039,9648.980469,9648.980469,117500000
6/29/2011,9767.910156,9797.259766,9734.660156,9797.259766,9797.259766,123400000
6/30/2011,9838.089844,9849.69043,9785.889648,9816.089844,9816.089844,136200000
7/1/2011,9878.69043,9900.570313,9849.639648,9868.070313,9868.070313,111600000
7/4/2011,9980.160156,10005.75,9940.469727,9965.089844,9965.089844,131400000
7/5/2011,9959.389648,9995.169922,9948.379883,9972.459961,9972.459961,132600000
7/6/2011,9987.25,10082.48047,9967.870117,10082.48047,10082.48047,137700000
7/7/2011,10047.15039,10102.19043,10029.33008,10071.13965,10071.13965,133200000
7/8/2011,10205.70996,10207.91016,10126.46973,10137.73047,10137.73047,127300000
7/11/2011,10069.00977,10109.29981,10057.76953,10069.53027,10069.53027,104900000
7/12/2011,9943.320313,9971.139648,9907.80957,9925.919922,9925.919922,135000000
7/13/2011,9891.110352,9979.669922,9887.330078,9963.139648,9963.139648,119000000
7/14/2011,9929.179688,9998.490234,9884,9936.120117,9936.120117,126800000
7/15/2011,9919.589844,9985.320313,9919.099609,9974.469727,9974.469727,101300000
7/19/2011,9921.5,9945.719727,9889.719727,9889.719727,9889.719727,108800000
7/20/2011,10008,10042.75,9986.330078,10005.90039,10005.90039,104400000
7/21/2011,10019.94043,10026.17969,9974,10010.38965,10010.38965,125500000
7/22/2011,10096.88965,10149.17969,10076.53027,10132.11035,10132.11035,134200000
7/25/2011,10080.82031,10091.01953,10039.09961,10050.00977,10050.00977,104100000
7/26/2011,10078.48047,10130.25,10043.99023,10097.71973,10097.71973,111200000
7/27/2011,10048.33984,10053.5,10009.37012,10047.19043,10047.19043,123900000
7/28/2011,9936.969727,9945.980469,9853.849609,9901.349609,9901.349609,131400000
7/29/2011,9866.820313,9914.219727,9824.339844,9833.030273,9833.030273,146500000
8/1/2011,9907.040039,10040.12988,9906.169922,9965.009766,9965.009766,145000000
8/2/2011,9872.169922,9873.459961,9822.299805,9844.589844,9844.589844,120500000
8/3/2011,9705.019531,9705.019531,9610.379883,9637.139648,9637.139648,131200000
8/4/2011,9685.5,9768.400391,9615.349609,9659.179688,9659.179688,154800000
8/5/2011,9469.160156,9469.160156,9264.089844,9299.879883,9299.879883,189000000
8/8/2011,9169.669922,9215.089844,9057.290039,9097.55957,9097.55957,147000000
8/9/2011,8911.799805,8949.969727,8656.790039,8944.480469,8944.480469,252500000
8/10/2011,9110.80957,9144.330078,9021.360352,9038.740234,9038.740234,173700000
8/11/2011,8876.540039,8983.330078,8832.419922,8981.94043,8981.94043,162900000
8/12/2011,9064.169922,9070.269531,8926.889648,8963.719727,8963.719727,150700000
8/15/2011,9082.530273,9117.110352,9032.839844,9086.410156,9086.410156,107800000
8/16/2011,9135.05957,9150.30957,9072.530273,9107.429688,9107.429688,117500000
8/17/2011,9047.889648,9081.799805,9003.700195,9057.259766,9057.259766,115100000
8/18/2011,9043.179688,9043.179688,8931.25,8943.759766,8943.759766,119500000
8/19/2011,8771.700195,8796.419922,8707.469727,8719.240234,8719.240234,152100000
8/22/2011,8686.910156,8756.099609,8619.209961,8628.129883,8628.129883,146200000
8/23/2011,8703.30957,8747.410156,8630.490234,8733.009766,8733.009766,158700000
8/24/2011,8812.160156,8825.269531,8620.889648,8639.610352,8639.610352,167100000
8/25/2011,8748.009766,8849.94043,8741.740234,8772.360352,8772.360352,160800000
8/26/2011,8746.769531,8805.099609,8742.459961,8797.780273,8797.780273,140900000
8/29/2011,8802.25,8926.269531,8751.290039,8851.349609,8851.349609,143700000
