Date,y,x1,x2,x3,x4,x5
2011-06-14,22496.0,22508.080078,22420.369141,22609.830078,22661.630859,22868.669922
2011-06-15,22343.769531,22496.0,22508.080078,22420.369141,22609.830078,22661.630859
2011-06-16,21953.109375,22343.769531,22496.0,22508.080078,22420.369141,22609.830078
2011-06-17,21695.259766,21953.109375,22343.769531,22496.0,22508.080078,22420.369141
2011-06-20,21599.509766,21695.259766,21953.109375,22343.769531,22496.0,22508.080078
2011-06-21,21850.589844,21599.509766,21695.259766,21953.109375,22343.769531,22496.0
2011-06-22,21859.970703,21850.589844,21599.509766,21695.259766,21953.109375,22343.769531
2011-06-23,21759.140625,21859.970703,21850.589844,21599.509766,21695.259766,21953.109375
2011-06-24,22171.949219,21759.140625,21859.970703,21850.589844,21599.509766,21695.259766
2011-06-27,22041.769531,22171.949219,21759.140625,21859.970703,21850.589844,21599.509766
2011-06-28,22061.779297,22041.769531,22171.949219,21759.140625,21859.970703,21850.589844
2011-06-29,22061.179688,22061.779297,22041.769531,22171.949219,21759.140625,21859.970703
2011-06-30,22398.099609,22061.179688,22061.779297,22041.769531,22171.949219,21759.140625
2011-07-04,22770.470703,22398.099609,22061.179688,22061.779297,22041.769531,22171.949219
2011-07-05,22747.949219,22770.470703,22398.099609,22061.179688,22061.779297,22041.769531
2011-07-06,22517.550781,22747.949219,22770.470703,22398.099609,22061.179688,22061.779297
2011-07-07,22530.179688,22517.550781,22747.949219,22770.470703,22398.099609,22061.179688
2011-07-08,22726.429688,22530.179688,22517.550781,22747.949219,22770.470703,22398.099609
2011-07-11,22347.230469,22726.429688,22530.179688,22517.550781,22747.949219,22770.470703
2011-07-12,21663.160156,22347.230469,22726.429688,22530.179688,22517.550781,22747.949219
2011-07-13,21926.880859,21663.160156,22347.230469,22726.429688,22530.179688,22517.550781
2011-07-14,21940.199219,21926.880859,21663.160156,22347.230469,22726.429688,22530.179688
2011-07-15,21875.380859,21940.199219,21926.880859,21663.160156,22347.230469,22726.429688
2011-07-18,21804.75,21875.380859,21940.199219,21926.880859,21663.160156,22347.230469
2011-07-19,21902.400391,21804.75,21875.380859,21940.199219,21926.880859,21663.160156
2011-07-20,22003.689453,21902.400391,21804.75,21875.380859,21940.199219,21926.880859
2011-07-21,21987.289063,22003.689453,21902.400391,21804.75,21875.380859,21940.199219
2011-07-22,22444.800781,21987.289063,22003.689453,21902.400391,21804.75,21875.380859
2011-07-25,22293.289063,22444.800781,21987.289063,22003.689453,21902.400391,21804.75
2011-07-26,22572.080078,22293.289063,22444.800781,21987.289063,22003.689453,21902.400391
2011-07-27,22541.689453,22572.080078,22293.289063,22444.800781,21987.289063,22003.689453
2011-07-28,22570.740234,22541.689453,22572.080078,22293.289063,22444.800781,21987.289063
2011-07-29,22440.25,22570.740234,22541.689453,22572.080078,22293.289063,22444.800781
2011-08-01,22663.369141,22440.25,22570.740234,22541.689453,22572.080078,22293.289063
2011-08-02,22421.460938,22663.369141,22440.25,22570.740234,22541.689453,22572.080078
2011-08-03,21992.720703,22421.460938,22663.369141,22440.25,22570.740234,22541.689453
2011-08-04,21884.740234,21992.720703,22421.460938,22663.369141,22440.25,22570.740234
2011-08-05,20946.140625,21884.740234,21992.720703,22421.460938,22663.369141,22440.25
2011-08-08,20490.570313,20946.140625,21884.740234,21992.720703,22421.460938,22663.369141
2011-08-09,19330.699219,20490.570313,20946.140625,21884.740234,21992.720703,22421.460938
2011-08-10,19783.669922,19330.699219,20490.570313,20946.140625,21884.740234,21992.720703
2011-08-11,19595.140625,19783.669922,19330.699219,20490.570313,20946.140625,21884.740234
2011-08-12,19620.009766,19595.140625,19783.669922,19330.699219,20490.570313,20946.140625
2011-08-15,20260.099609,19620.009766,19595.140625,19783.669922,19330.699219,20490.570313
2011-08-16,20212.080078,20260.099609,19620.009766,19595.140625,19783.669922,19330.699219
2011-08-17,20289.029297,20212.080078,20260.099609,19620.009766,19595.140625,19783.669922
2011-08-18,20016.269531,20289.029297,20212.080078,20260.099609,19620.009766,19595.140625
2011-08-19,19399.919922,20016.269531,20289.029297,20212.080078,20260.099609,19620.009766
2011-08-22,19486.869141,19399.919922,20016.269531,20289.029297,20212.080078,20260.099609
2011-08-23,19875.529297,19486.869141,19399.919922,20016.269531,20289.029297,20212.080078
2011-08-24,19466.789063,19875.529297,19486.869141,19399.919922,20016.269531,20289.029297
2011-08-25,19752.480469,19466.789063,19875.529297,19486.869141,19399.919922,20016.269531
2011-08-26,19582.880859,19752.480469,19466.789063,19875.529297,19486.869141,19399.919922
2011-08-29,19865.109375,19582.880859,19752.480469,19466.789063,19875.529297,19486.869141
2011-08-30,20204.169922,19865.109375,19582.880859,19752.480469,19466.789063,19875.529297
2011-08-31,20534.849609,20204.169922,19865.109375,19582.880859,19752.480469,19466.789063
2011-09-01,20585.330078,20534.849609,20204.169922,19865.109375,19582.880859,19752.480469
2011-09-02,20212.910156,20585.330078,20534.849609,20204.169922,19865.109375,19582.880859
2011-09-05,19616.400391,20212.910156,20585.330078,20534.849609,20204.169922,19865.109375
2011-09-06,19710.5,19616.400391,20212.910156,20585.330078,20534.849609,20204.169922
2011-09-07,20048.0,19710.5,19616.400391,20212.910156,20585.330078,20534.849609
2011-09-08,19912.820313,20048.0,19710.5,19616.400391,20212.910156,20585.330078
2011-09-09,19866.630859,19912.820313,20048.0,19710.5,19616.400391,20212.910156
2011-09-12,19030.539063,19866.630859,19912.820313,20048.0,19710.5,19616.400391
2011-09-14,19045.439453,19030.539063,19866.630859,19912.820313,20048.0,19710.5
2011-09-15,19181.5,19045.439453,19030.539063,19866.630859,19912.820313,20048.0
2011-09-16,19455.310547,19181.5,19045.439453,19030.539063,19866.630859,19912.820313
2011-09-19,18917.949219,19455.310547,19181.5,19045.439453,19030.539063,19866.630859
2011-09-20,19014.800781,18917.949219,19455.310547,19181.5,19045.439453,19030.539063
2011-09-21,18824.169922,19014.800781,18917.949219,19455.310547,19181.5,19045.439453
2011-09-22,17911.949219,18824.169922,19014.800781,18917.949219,19455.310547,19181.5
2011-09-23,17668.830078,17911.949219,18824.169922,19014.800781,18917.949219,19455.310547
2011-09-26,17407.800781,17668.830078,17911.949219,18824.169922,19014.800781,18917.949219
2011-09-27,18130.550781,17407.800781,17668.830078,17911.949219,18824.169922,19014.800781
2011-09-28,18011.060547,18130.550781,17407.800781,17668.830078,17911.949219,18824.169922
2011-09-30,17592.410156,18011.060547,18130.550781,17407.800781,17668.830078,17911.949219
2011-10-03,16822.150391,17592.410156,18011.060547,18130.550781,17407.800781,17668.830078
2011-10-04,16250.269531,16822.150391,17592.410156,18011.060547,18130.550781,17407.800781
2011-10-06,17172.279297,16250.269531,16822.150391,17592.410156,18011.060547,18130.550781
2011-10-07,17707.009766,17172.279297,16250.269531,16822.150391,17592.410156,18011.060547
2011-10-10,17711.060547,17707.009766,17172.279297,16250.269531,16822.150391,17592.410156
2011-10-11,18141.589844,17711.060547,17707.009766,17172.279297,16250.269531,16822.150391
2011-10-12,18329.460938,18141.589844,17711.060547,17707.009766,17172.279297,16250.269531
2011-10-13,18757.810547,18329.460938,18141.589844,17711.060547,17707.009766,17172.279297
2011-10-14,18501.789063,18757.810547,18329.460938,18141.589844,17711.060547,17707.009766
2011-10-17,18873.990234,18501.789063,18757.810547,18329.460938,18141.589844,17711.060547
2011-10-18,18076.460938,18873.990234,18501.789063,18757.810547,18329.460938,18141.589844
2011-10-19,18309.220703,18076.460938,18873.990234,18501.789063,18757.810547,18329.460938
2011-10-20,17983.099609,18309.220703,18076.460938,18873.990234,18501.789063,18757.810547
2011-10-21,18025.720703,17983.099609,18309.220703,18076.460938,18873.990234,18501.789063
2011-10-24,18771.820313,18025.720703,17983.099609,18309.220703,18076.460938,18873.990234
2011-10-25,18968.199219,18771.820313,18025.720703,17983.099609,18309.220703,18076.460938
2011-10-26,19066.539063,18968.199219,18771.820313,18025.720703,17983.099609,18309.220703
2011-10-27,19688.699219,19066.539063,18968.199219,18771.820313,18025.720703,17983.099609
2011-10-28,20019.240234,19688.699219,19066.539063,18968.199219,18771.820313,18025.720703
2011-10-31,19864.869141,20019.240234,19688.699219,19066.539063,18968.199219,18771.820313
2011-11-01,19369.960938,19864.869141,20019.240234,19688.699219,19066.539063,18968.199219
2011-11-02,19733.710938,19369.960938,19864.869141,20019.240234,19688.699219,19066.539063
2011-11-03,19242.5,19733.710938,19369.960938,19864.869141,20019.240234,19688.699219
2011-11-04,19842.789063,19242.5,19733.710938,19369.960938,19864.869141,20019.240234
2011-11-07,19677.890625,19842.789063,19242.5,19733.710938,19369.960938,19864.869141
2011-11-08,19678.470703,19677.890625,19842.789063,19242.5,19733.710938,19369.960938
2011-11-09,20014.429688,19678.470703,19677.890625,19842.789063,19242.5,19733.710938
2011-11-10,18963.890625,20014.429688,19678.470703,19677.890625,19842.789063,19242.5
2011-11-11,19137.169922,18963.890625,20014.429688,19678.470703,19677.890625,19842.789063
2011-11-14,19508.179688,19137.169922,18963.890625,20014.429688,19678.470703,19677.890625
2011-11-15,19348.439453,19508.179688,19137.169922,18963.890625,20014.429688,19678.470703
2011-11-16,18960.900391,19348.439453,19508.179688,19137.169922,18963.890625,20014.429688
2011-11-17,18817.470703,18960.900391,19348.439453,19508.179688,19137.169922,18963.890625
2011-11-18,18491.230469,18817.470703,18960.900391,19348.439453,19508.179688,19137.169922
2011-11-21,18225.849609,18491.230469,18817.470703,18960.900391,19348.439453,19508.179688
2011-11-22,18251.589844,18225.849609,18491.230469,18817.470703,18960.900391,19348.439453
2011-11-23,17864.429688,18251.589844,18225.849609,18491.230469,18817.470703,18960.900391
2011-11-24,17935.099609,17864.429688,18251.589844,18225.849609,18491.230469,18817.470703
2011-11-25,17689.480469,17935.099609,17864.429688,18251.589844,18225.849609,18491.230469
2011-11-28,18037.810547,17689.480469,17935.099609,17864.429688,18251.589844,18225.849609
2011-11-29,18256.199219,18037.810547,17689.480469,17935.099609,17864.429688,18251.589844
2011-11-30,17989.349609,18256.199219,18037.810547,17689.480469,17935.099609,17864.429688
2011-12-01,19002.259766,17989.349609,18256.199219,18037.810547,17689.480469,17935.099609
2011-12-02,19040.390625,19002.259766,17989.349609,18256.199219,18037.810547,17689.480469
2011-12-05,19179.689453,19040.390625,19002.259766,17989.349609,18256.199219,18037.810547
2011-12-06,18942.230469,19179.689453,19040.390625,19002.259766,17989.349609,18256.199219
2011-12-07,19240.580078,18942.230469,19179.689453,19040.390625,19002.259766,17989.349609
2011-12-08,19107.810547,19240.580078,18942.230469,19179.689453,19040.390625,19002.259766
2011-12-09,18586.230469,19107.810547,19240.580078,18942.230469,19179.689453,19040.390625
2011-12-12,18575.660156,18586.230469,19107.810547,19240.580078,18942.230469,19179.689453
2011-12-13,18447.169922,18575.660156,18586.230469,19107.810547,19240.580078,18942.230469
2011-12-14,18354.429688,18447.169922,18575.660156,18586.230469,19107.810547,19240.580078
2011-12-15,18026.839844,18354.429688,18447.169922,18575.660156,18586.230469,19107.810547
2011-12-16,18285.390625,18026.839844,18354.429688,18447.169922,18575.660156,18586.230469
2011-12-19,18070.210938,18285.390625,18026.839844,18354.429688,18447.169922,18575.660156
2011-12-20,18080.199219,18070.210938,18285.390625,18026.839844,18354.429688,18447.169922
2011-12-21,18416.449219,18080.199219,18070.210938,18285.390625,18026.839844,18354.429688
2011-12-22,18378.230469,18416.449219,18080.199219,18070.210938,18285.390625,18026.839844
2011-12-23,18629.169922,18378.230469,18416.449219,18080.199219,18070.210938,18285.390625
2012-01-10,19004.279297,18865.720703,18593.060547,18813.410156,18727.310547,18877.410156
2012-01-11,19151.939453,19004.279297,18865.720703,18593.060547,18813.410156,18727.310547
2012-01-12,19095.380859,19151.939453,19004.279297,18865.720703,18593.060547,18813.410156
2012-01-13,19204.419922,19095.380859,19151.939453,19004.279297,18865.720703,18593.060547
2012-01-16,19012.199219,19204.419922,19095.380859,19151.939453,19004.279297,18865.720703
2012-01-17,19627.75,19012.199219,19204.419922,19095.380859,19151.939453,19004.279297
