Date,y,x1,x2,x3,x4,x5
2020-01-14,24025.169922,23850.570313,23739.869141,23204.759766,23575.720703,23204.859375
2020-01-15,23916.580078,24025.169922,23850.570313,23739.869141,23204.759766,23575.720703
2020-01-16,23933.130859,23916.580078,24025.169922,23850.570313,23739.869141,23204.759766
2020-01-17,24041.259766,23933.130859,23916.580078,24025.169922,23850.570313,23739.869141
2020-01-20,24083.509766,24041.259766,23933.130859,23916.580078,24025.169922,23850.570313
2020-01-21,23864.560547,24083.509766,24041.259766,23933.130859,23916.580078,24025.169922
2020-01-22,24031.349609,23864.560547,24083.509766,24041.259766,23933.130859,23916.580078
2020-01-23,23795.439453,24031.349609,23864.560547,24083.509766,24041.259766,23933.130859
2020-01-24,23827.179688,23795.439453,24031.349609,23864.560547,24083.509766,24041.259766
2020-01-27,23343.509766,23827.179688,23795.439453,24031.349609,23864.560547,24083.509766
2020-01-28,23215.710938,23343.509766,23827.179688,23795.439453,24031.349609,23864.560547
2020-01-29,23379.400391,23215.710938,23343.509766,23827.179688,23795.439453,24031.349609
2020-01-30,22977.75,23379.400391,23215.710938,23343.509766,23827.179688,23795.439453
2020-01-31,23205.179688,22977.75,23379.400391,23215.710938,23343.509766,23827.179688
2020-02-03,22971.939453,23205.179688,22977.75,23379.400391,23215.710938,23343.509766
2020-02-04,23084.589844,22971.939453,23205.179688,22977.75,23379.400391,23215.710938
2020-02-05,23319.560547,23084.589844,22971.939453,23205.179688,22977.75,23379.400391
2020-02-06,23873.589844,23319.560547,23084.589844,22971.939453,23205.179688,22977.75
2020-02-07,23827.980469,23873.589844,23319.560547,23084.589844,22971.939453,23205.179688
2020-02-10,23685.980469,23827.980469,23873.589844,23319.560547,23084.589844,22971.939453
2020-02-12,23861.210938,23685.980469,23827.980469,23873.589844,23319.560547,23084.589844
2020-02-13,23827.730469,23861.210938,23685.980469,23827.980469,23873.589844,23319.560547
2020-02-14,23687.589844,23827.730469,23861.210938,23685.980469,23827.980469,23873.589844
2020-02-17,23523.240234,23687.589844,23827.730469,23861.210938,23685.980469,23827.980469
2020-02-18,23193.800781,23523.240234,23687.589844,23827.730469,23861.210938,23685.980469
2020-02-19,23400.699219,23193.800781,23523.240234,23687.589844,23827.730469,23861.210938
2020-02-20,23479.150391,23400.699219,23193.800781,23523.240234,23687.589844,23827.730469
2020-02-21,23386.740234,23479.150391,23400.699219,23193.800781,23523.240234,23687.589844
2020-02-25,22605.410156,23386.740234,23479.150391,23400.699219,23193.800781,23523.240234
2020-02-26,22426.189453,22605.410156,23386.740234,23479.150391,23400.699219,23193.800781
2020-02-27,21948.230469,22426.189453,22605.410156,23386.740234,23479.150391,23400.699219
2020-02-28,21142.960938,21948.230469,22426.189453,22605.410156,23386.740234,23479.150391
2020-03-02,21344.080078,21142.960938,21948.230469,22426.189453,22605.410156,23386.740234
2020-03-03,21082.730469,21344.080078,21142.960938,21948.230469,22426.189453,22605.410156
2020-03-04,21100.060547,21082.730469,21344.080078,21142.960938,21948.230469,22426.189453
2020-03-05,21329.119141,21100.060547,21082.730469,21344.080078,21142.960938,21948.230469
2020-03-06,20749.75,21329.119141,21100.060547,21082.730469,21344.080078,21142.960938
2020-03-09,19698.759766,20749.75,21329.119141,21100.060547,21082.730469,21344.080078
2020-03-10,19867.119141,19698.759766,20749.75,21329.119141,21100.060547,21082.730469
2020-03-11,19416.060547,19867.119141,19698.759766,20749.75,21329.119141,21100.060547
2020-03-12,18559.630859,19416.060547,19867.119141,19698.759766,20749.75,21329.119141
2020-03-13,17431.050781,18559.630859,19416.060547,19867.119141,19698.759766,20749.75
2020-03-16,17002.039063,17431.050781,18559.630859,19416.060547,19867.119141,19698.759766
2020-03-17,17011.529297,17002.039063,17431.050781,18559.630859,19416.060547,19867.119141
2020-03-18,16726.550781,17011.529297,17002.039063,17431.050781,18559.630859,19416.060547
2020-03-19,16552.830078,16726.550781,17011.529297,17002.039063,17431.050781,18559.630859
2020-03-23,16887.779297,16552.830078,16726.550781,17011.529297,17002.039063,17431.050781
2020-03-24,18092.349609,16887.779297,16552.830078,16726.550781,17011.529297,17002.039063
2020-03-25,19546.630859,18092.349609,16887.779297,16552.830078,16726.550781,17011.529297
2020-03-26,18664.599609,19546.630859,18092.349609,16887.779297,16552.830078,16726.550781
2020-03-27,19389.429688,18664.599609,19546.630859,18092.349609,16887.779297,16552.830078
2020-03-30,19084.970703,19389.429688,18664.599609,19546.630859,18092.349609,16887.779297
2020-03-31,18917.009766,19084.970703,19389.429688,18664.599609,19546.630859,18092.349609
2020-04-01,18065.410156,18917.009766,19084.970703,19389.429688,18664.599609,19546.630859
2020-04-02,17818.720703,18065.410156,18917.009766,19084.970703,19389.429688,18664.599609
2020-04-03,17820.189453,17818.720703,18065.410156,18917.009766,19084.970703,19389.429688
2020-04-06,18576.300781,17820.189453,17818.720703,18065.410156,18917.009766,19084.970703
2020-04-07,18950.179688,18576.300781,17820.189453,17818.720703,18065.410156,18917.009766
2020-04-08,19353.240234,18950.179688,18576.300781,17820.189453,17818.720703,18065.410156
2020-04-09,19345.769531,19353.240234,18950.179688,18576.300781,17820.189453,17818.720703
2020-04-10,19498.5,19345.769531,19353.240234,18950.179688,18576.300781,17820.189453
2020-04-13,19043.400391,19498.5,19345.769531,19353.240234,18950.179688,18576.300781
2020-04-14,19638.810547,19043.400391,19498.5,19345.769531,19353.240234,18950.179688
2020-04-15,19550.089844,19638.810547,19043.400391,19498.5,19345.769531,19353.240234
2020-04-16,19290.199219,19550.089844,19638.810547,19043.400391,19498.5,19345.769531
