Date,y,x1,x2,x3,x4,x5
2020-01-09,28561.0,28087.919922,28322.060547,28226.189453,28451.5,28543.519531
2020-01-10,28638.199219,28561.0,28087.919922,28322.060547,28226.189453,28451.5
2020-01-13,28954.939453,28638.199219,28561.0,28087.919922,28322.060547,28226.189453
2020-01-14,28885.140625,28954.939453,28638.199219,28561.0,28087.919922,28322.060547
2020-01-15,28773.589844,28885.140625,28954.939453,28638.199219,28561.0,28087.919922
2020-01-16,28883.039063,28773.589844,28885.140625,28954.939453,28638.199219,28561.0
2020-01-17,29056.419922,28883.039063,28773.589844,28885.140625,28954.939453,28638.199219
2020-01-20,28795.910156,29056.419922,28883.039063,28773.589844,28885.140625,28954.939453
2020-01-21,27985.330078,28795.910156,29056.419922,28883.039063,28773.589844,28885.140625
2020-01-22,28341.039063,27985.330078,28795.910156,29056.419922,28883.039063,28773.589844
2020-01-23,27909.119141,28341.039063,27985.330078,28795.910156,29056.419922,28883.039063
2020-01-24,27949.640625,27909.119141,28341.039063,27985.330078,28795.910156,29056.419922
2020-01-29,27160.630859,27949.640625,27909.119141,28341.039063,27985.330078,28795.910156
2020-01-30,26449.130859,27160.630859,27949.640625,27909.119141,28341.039063,27985.330078
2020-01-31,26312.630859,26449.130859,27160.630859,27949.640625,27909.119141,28341.039063
2020-02-03,26356.980469,26312.630859,26449.130859,27160.630859,27949.640625,27909.119141
2020-02-04,26675.980469,26356.980469,26312.630859,26449.130859,27160.630859,27949.640625
2020-02-05,26786.740234,26675.980469,26356.980469,26312.630859,26449.130859,27160.630859
2020-02-06,27493.699219,26786.740234,26675.980469,26356.980469,26312.630859,26449.130859
2020-02-07,27404.269531,27493.699219,26786.740234,26675.980469,26356.980469,26312.630859
2020-02-10,27241.339844,27404.269531,27493.699219,26786.740234,26675.980469,26356.980469
2020-02-11,27583.880859,27241.339844,27404.269531,27493.699219,26786.740234,26675.980469
2020-02-12,27823.660156,27583.880859,27241.339844,27404.269531,27493.699219,26786.740234
2020-02-13,27730.0,27823.660156,27583.880859,27241.339844,27404.269531,27493.699219
2020-02-14,27815.599609,27730.0,27823.660156,27583.880859,27241.339844,27404.269531
2020-02-17,27959.599609,27815.599609,27730.0,27823.660156,27583.880859,27241.339844
2020-02-18,27530.199219,27959.599609,27815.599609,27730.0,27823.660156,27583.880859
2020-02-19,27655.810547,27530.199219,27959.599609,27815.599609,27730.0,27823.660156
2020-02-20,27609.160156,27655.810547,27530.199219,27959.599609,27815.599609,27730.0
2020-02-21,27308.810547,27609.160156,27655.810547,27530.199219,27959.599609,27815.599609
2020-02-24,26820.880859,27308.810547,27609.160156,27655.810547,27530.199219,27959.599609
2020-02-25,26893.230469,26820.880859,27308.810547,27609.160156,27655.810547,27530.199219
2020-02-26,26696.490234,26893.230469,26820.880859,27308.810547,27609.160156,27655.810547
2020-02-27,26778.619141,26696.490234,26893.230469,26820.880859,27308.810547,27609.160156
2020-02-28,26129.929688,26778.619141,26696.490234,26893.230469,26820.880859,27308.810547
2020-03-02,26291.679688,26129.929688,26778.619141,26696.490234,26893.230469,26820.880859
2020-03-03,26284.820313,26291.679688,26129.929688,26778.619141,26696.490234,26893.230469
2020-03-04,26222.070313,26284.820313,26291.679688,26129.929688,26778.619141,26696.490234
2020-03-05,26767.869141,26222.070313,26284.820313,26291.679688,26129.929688,26778.619141
2020-03-06,26146.669922,26767.869141,26222.070313,26284.820313,26291.679688,26129.929688
2020-03-09,25040.460938,26146.669922,26767.869141,26222.070313,26284.820313,26291.679688
2020-03-10,25392.509766,25040.460938,26146.669922,26767.869141,26222.070313,26284.820313
2020-03-11,25231.609375,25392.509766,25040.460938,26146.669922,26767.869141,26222.070313
2020-03-12,24309.070313,25231.609375,25392.509766,25040.460938,26146.669922,26767.869141
2020-03-13,24032.910156,24309.070313,25231.609375,25392.509766,25040.460938,26146.669922
2020-03-16,23063.570313,24032.910156,24309.070313,25231.609375,25392.509766,25040.460938
2020-03-17,23263.730469,23063.570313,24032.910156,24309.070313,25231.609375,25392.509766
2020-03-18,22291.820313,23263.730469,23063.570313,24032.910156,24309.070313,25231.609375
2020-03-19,21709.130859,22291.820313,23263.730469,23063.570313,24032.910156,24309.070313
2020-03-20,22805.070313,21709.130859,22291.820313,23263.730469,23063.570313,24032.910156
